Date,Open,High,Low,Close,Volume,ticker,Year,Month,Day
2006-06-12,1.7814682554985257,1.7913647251973128,1.7082900386102904,1.709489107131958,717785600,AAPL,2006,6,12
2006-06-13,1.7277843958482386,1.772470884497514,1.7202864612978195,1.7493778467178345,1080643200,AAPL,2006,6,13
2006-06-14,1.7478784980185385,1.7628739635863069,1.7001924450131178,1.7277840375900269,878136000,AAPL,2006,6,14
2006-06-15,1.7184867910842339,1.7916641971119873,1.7019917428549192,1.780867576599121,1190383600,AAPL,2006,6,15
2006-06-16,1.7682717676965976,1.7751702660588327,1.7250850777376363,1.726284146308899,838101600,AAPL,2006,6,16
2006-06-19,1.7343818692642692,1.7448787743437453,1.7094891342828382,1.7154874801635742,704575200,AAPL,2006,6,19
2006-06-20,1.7277840094000254,1.749977890705228,1.7181866553221,1.7235853672027588,672974400,AAPL,2006,6,20
2006-06-21,1.731682817944725,1.760774191536534,1.718486858925048,1.7352818250656128,863296000,AAPL,2006,6,21
2006-06-22,1.745478635364011,1.7919654215522303,1.7415805108826228,1.7868664264678955,965633200,AAPL,2006,6,22
2006-06-23,1.7910647839785194,1.8045612605186245,1.7613737769033462,1.7643723487854004,660203600,AAPL,2006,6,23
2006-06-26,1.7745704619623182,1.7754706146111345,1.7505778701421337,1.7691725492477417,466536000,AAPL,2006,6,26
2006-06-27,1.7721703924558714,1.7760693167173067,1.7214855783279095,1.7223849296569824,550611600,AAPL,2006,6,27
2006-06-28,1.718186674362219,1.7184871923159615,1.661804220647861,1.6800981760025024,850704400,AAPL,2006,6,28
2006-06-29,1.7022920035199784,1.7721709427684071,1.6911954622151866,1.7685717344284058,873398400,AAPL,2006,6,29
2006-06-30,1.7271844284361066,1.7319827046437115,1.6944938443095214,1.717586874961853,739695600,AAPL,2006,6,30
2006-07-03,1.7250851560839806,1.7448788980464338,1.7196864441967663,1.7379812002182007,194770800,AAPL,2006,7,3
2006-07-05,1.7139876662592501,1.7274841444883606,1.6962933470393553,1.709489107131958,518240800,AAPL,2006,7,5
2006-07-06,1.712188906978474,1.721485742004324,1.6678014499456648,1.6726006269454956,633208800,AAPL,2006,7,6
2006-07-07,1.6639038506454333,1.6959941087029047,1.6396107435687004,1.6615039110183716,799360800,AAPL,2006,7,7
2006-07-10,1.6705014733902623,1.69419414140782,1.634512395160986,1.649507761001587,529345600,AAPL,2006,7,10
2006-07-11,1.6528063629100078,1.6791987875927934,1.6354117584315226,1.6690016984939575,825022800,AAPL,2006,7,11
2006-07-12,1.6546056982841253,1.6567051193770568,1.5871260078117562,1.5883259773254395,927329200,AAPL,2006,7,12
2006-07-13,1.5604337417864023,1.6231151548204623,1.5418391698865512,1.5670316219329834,1249906000,AAPL,2006,7,13
2006-07-14,1.5745296265852529,1.586226500200413,1.5043509876476313,1.519646167755127,993036800,AAPL,2006,7,14
2006-07-17,1.5514365830268293,1.5928244677573609,1.5490374449504123,1.5706307888031006,1024542400,AAPL,2006,7,17
2006-07-18,1.5943235622206149,1.6150174559434176,1.555035896661671,1.5865265130996704,1000448400,AAPL,2006,7,18
2006-07-19,1.5883259879421336,1.651906854058525,1.5703310499883467,1.6225155591964722,1390743200,AAPL,2006,7,19
2006-07-20,1.8282550106299806,1.847149208099007,1.7910658499166874,1.8144586086273193,1972146400,AAPL,2006,7,20
2006-07-21,1.7940643799806633,1.8339523739159556,1.7886656691681553,1.82105553150177,891892400,AAPL,2006,7,21
2006-07-24,1.8372508843420243,1.8624433334680806,1.8123583524750326,1.8420493602752686,722856400,AAPL,2006,7,24
2006-07-25,1.8528471407189187,1.862143976914334,1.8228554090063478,1.857345700263977,589069600,AAPL,2006,7,25
2006-07-26,1.859444585318417,1.9386203316675814,1.8498470337259931,1.915527105331421,898427600,AAPL,2006,7,26
2006-07-27,1.9344222596153555,1.9500181620220263,1.8852372157146304,1.901432752609253,735044800,AAPL,2006,7,27
2006-07-28,1.917626173616366,1.9698107611018403,1.904430418527759,1.9671117067337036,691507600,AAPL,2006,7,28
2006-07-31,2.0043014678370317,2.0582847745501667,1.9878062181929308,2.038191318511963,892841600,AAPL,2006,7,31
2006-08-01,2.0159979483705097,2.03729147927675,1.9776097293972537,2.014798879623413,711765600,AAPL,2006,8,1
2006-08-02,2.028893983406875,2.059785069427649,2.0246953408010264,2.0441901683807373,550768400,AAPL,2006,8,2
2006-08-03,2.036692456253464,2.0993737926697156,2.0336936826150622,2.0870773792266846,841044400,AAPL,2006,8,3
2006-08-04,2.0108998540642498,2.057685556175976,1.9482183332117589,2.048388719558716,1852866400,AAPL,2006,8,4
2006-08-07,2.0309928977627023,2.08737614310987,1.9887055638582243,2.015697717666626,1245512800,AAPL,2006,8,7
